2026/01/09,韓国オンニ,通常,YT,Hina,絶対に失敗しないチーク！塗るだけで韓国アイドルメイク上級者です #コスメ #美容 #メイク #韓国コスメ #購入品紹介,https://youtube.com/shorts/br3gJ38Lm3Q?si=0ifUF1tAbtLIaHt2,単品,2026/1/29 11:23:03,19,"28,758",454,2,,,1.58%,0.01%,0.00%,0.00%,,,,,,,,,,,,,,,,,
2026/01/12,成分オタクちゃん,通常,TikTok,Riho,一生リピしたいクリーム❤️前にも紹介したエリクシールのこれ❤️ドラストで買えるから、開き毛穴とか皮脂悩んでる人、試してみて❤️ #スキンケア #エリクシール #開き毛穴 #皮脂 #クリーム,https://www.tiktok.com/@seibun_otakuchan/video/7594276873731919125?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026/1/28 15:53:44,14,,175,5,3,109,,,,,6,43%,84,44,28,14,3,,95,,,,,,,,
2026/01/07,コスメ俱楽部,通常,YT,Moeka,【リピなし】みんなのファンデ事情聞いたら人気のクッションがまさかの？ #コスメ #美容 #メイク #購入品紹介 #韓国コスメ,https://youtube.com/shorts/ify2MKJw7Q4?si=S0ue4YT13wM_SP1D,単品,2026/01/29 11:22:59,45,"27,968",235,4,,,0.84%,0.01%,0.00%,0.00%,,0%,,,,,,0.00%,,,,,,,,,
2026/01/07,肌コミちゃん,通常,TikTok,Moeka,冬は乾燥さんなしでは生きていけない〜🥹 #乾燥さん #ファンデ #ベースメイク #美容 #スキンケア,https://www.tiktok.com/@bihadanaritaina/video/7592553189463837972?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026/1/28 15:55:45,17,,157,2,5,57,,,,,,,,,,,,,,,,,,,,,
2026/01/10,成分オタクちゃん,通常,YT,Riho,マツキヨで500円の化粧水！騙されたと思って買ってみたら潤いすぎた #コスメ #美容 #スキンケア #おすすめ #プチプラ,https://youtube.com/shorts/F4lX9oR9sqs?si=y-AS-CeJReD7qJqa,単品,2026/1/29 11:23:06,24,"25,622",245,0,,,0.96%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,
2026/01/07,肌コミちゃん,通常,TikTok,Moeka,冬は乾燥さんなしでは生きていけない〜🥹 #乾燥さん #ファンデ #ベースメイク #美容 #スキンケア,https://www.tiktok.com/@bihadanaritaina/video/7592553189463837972?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026/1/28 15:53:22,17,,162,3,5,57,,,,,,0%,,,,,,,,,,,,,,,
2026/01/25,kana,通常,TikTok,Ryusei,Thanks to everyone that shes really enjoying taking video recently #jbeauty #japan #sister #japanese #fyp,https://www.tiktok.com/@__kanachan__/video/7592961410733313311?is_from_webapp=1&sender_device=pc&web_id=7524645317796939280,単品,2026/1/28 15:48:17,35,,"2,531",23,25,184,,,,,,0%,,,,,,,,,,,,,,,
2026/01/18,kana,通常,TikTok,Ryusei,part 2 | pov : my japanese sister wants to try asmr but she cant speak english #japan #asmr #japanese #japanesefood #fyp,https://www.tiktok.com/@kana_asmr_/video/7589993919774084382,単品,2026/01/28 15:49:19,27,,"2,712",18,13,137,,,,,,0%,,,,,,,,,,,,,,,
2026/01/08,モテコスメちゃん,通常,TikTok,Maya,だんだん安くなるよ！ 全部ほんとにおすすめだからお年玉でぜひ買ってほしい🥹💖 プレゼントの参考にも！♡ #お年玉 #コスメ #ベストバイ #おすすめコスメ #プレゼントにおすすめ,https://www.tiktok.com/@mote_cosme/video/7592924829582560520?is_from_webapp=1&sender_device=pc&web_id=7550509021708797447,単品,2026/01/28 15:55:53,41,,722,2,7,131,,,,,,,,,,,,,,,,,,,,,
2026/01/24,kana,通常,TikTok,Ryusei,part 1 | pov : my japanese sister wants to introduce her hair arrange but she cant speak english #jbeauty #japan #sister #japanese #fyp,https://www.tiktok.com/@__kanachan__/video/7592805872003206430?is_from_webapp=1&sender_device=pc&web_id=7524645317796939280,単品,2026/01/28 15:56:19,43,,"2,388",17,18,160,,,,,,0%,,,,,,,,,,,,,,,
